Station,Line,Latitude,Longitude
Adarsh Nagar,Yellow,28.7144,77.1673
Ghitorni,Yellow,28.4938,77.1492
Jor Bagh,Yellow,28.5882,77.2165
New Delhi,Yellow,28.6436,77.2217
Jahangirpuri,Yellow,28.7260,77.1627
INA,Yellow,28.5744,77.2102
Samaypur Badli,Yellow,28.7446,77.1383
Saket,Yellow,28.5244,77.2137
IFFCO Chowk,Yellow,28.4723,77.0724
Rohini Sector 18,Yellow,28.7383,77.1398
HUDA City Centre,Yellow,28.4593,77.0727
Hauz Khas,Yellow,28.5443,77.2067
Patel Chowk,Yellow,28.6230,77.2140
Haiderpur,Yellow,28.7301,77.1494
Rajiv Chowk,Yellow,28.6328,77.2197
Guru Dronacharya,Yellow,28.4820,77.1023
GTB Nagar,Yellow,28.6981,77.2064
Green Park,Yellow,28.5586,77.2067
Sikandarpur,Yellow,28.4813,77.0930
Civil Lines,Yellow,28.6769,77.2250
Model Town,Yellow,28.7027,77.1940
Chhatarpur,Yellow,28.5067,77.1750
Chawri Bazar,Yellow,28.6502,77.2295
Chandni Chowk,Yellow,28.6605,77.2298
Central Secretariat,Yellow,28.6159,77.2123
AIIMS,Yellow,28.5669,77.2078
Vishwa Vidyalaya,Yellow,28.6950,77.2147
Vidhan Sabha,Yellow,28.6863,77.2217
Sultanpur,Yellow,28.4617,76.8701
Arjan Garh,Yellow,28.4807,77.1258
Lok Kalyan Marg,Yellow,28.5984,77.2030
Malviya Nagar,Yellow,28.5339,77.2124
MG Road,Yellow,28.4795,77.0805
Udyog Bhawan,Yellow,28.6105,77.2131
Azadpur,Yellow,28.7077,77.1755
Kashmere Gate,Yellow,28.6517,77.2219
Kashmere Gate,Red,28.6517,77.2219
Kashmere Gate,Violet,28.6517,77.2219
Major Mohit Sharma,Red,28.6776,77.3581
Hindon,Red,28.8790,77.4155
Mansarovar Park,Red,28.6757,77.3001
Kanhaiya Nagar,Red,28.6801,77.1648
Inderlok,Red,28.6517,77.2219
Inderlok,Green,28.6517,77.2219
Welcome,Red,28.6517,77.2219
Netaji Subhash Place,Red,28.6961,77.1526
Mohan Nagar,Red,28.6063,77.1061
Jhilmil,Red,28.6757,77.3125
Keshav Puram,Red,28.6889,77.1617
Pitam Pura,Red,28.7033,77.1322
Pratap Nagar,Red,28.6665,77.1993
Tis Hazari,Red,28.6671,77.2166
Arthala,Red,28.6770,77.3919
Pul Bangash,Red,28.6664,77.2075
Raj Bagh,Red,28.6409,77.2095
Shaheed Sthal,Red,28.6706,77.4156
Dilshad Garden,Red,28.6759,77.3214
Kohat Enclave,Red,28.6980,77.1405
Shastri Nagar,Red,28.6700,77.1820
Shahdara,Red,28.6734,77.2897
Rithala,Red,28.7208,77.1072
Rohini East,Red,28.7076,77.1260
Rohini West,Red,28.7150,77.1154
Seelampur,Red,28.6698,77.2668
Shastri Park,Red,28.6683,77.2504
Shyam Park,Red,28.6988,77.2685
Preet Vihar,Blue,28.6415,77.2954
Subhash Nagar,Blue,28.6418,77.1088
Tilak Nagar,Blue,28.6365,77.0965
Tagore Garden,Blue,28.6438,77.1128
Mayur Vihar Extension,Blue,28.5942,77.2946
Mayur Vihar -I,Blue,28.6031,77.2926
Mandi House,Blue,28.6256,77.2342
Uttam Nagar East,Blue,28.6248,77.0653
Uttam Nagar West,Blue,28.6218,77.0557
Vaishali,Blue,28.6441,77.0684
Supreme Court,Blue,28.6223,77.2394
Moti Nagar,Blue,28.6579,77.1424
Nirman Vihar,Blue,28.6365,77.2868
New Ashok Nagar,Blue,28.5891,77.3015
Patel Nagar,Blue,28.6456,77.1687
Rajendra Place,Blue,28.6425,77.1783
Rajouri Garden,Blue,28.6422,77.1161
Ramakrishna Ashram Marg,Blue,28.6392,77.2086
Ramesh Nagar,Blue,28.6527,77.1316
Noida Sector 62,Blue,28.4809,77.0849
Shadipur,Blue,28.6516,77.1583
Nawada,Blue,28.6203,77.0451
